question,document
I found this course late — can I still sign up and follow along?,74eb249bbf
Is it too late to join the course if I just heard about it now?,74eb249bbf
Can I still take part in the course even after it already started?,74eb249bbf
"If I join late, will I still be able to get a certificate somehow?",74eb249bbf
What do I need to do to be eligible for the certificate if I started the course late?,74eb249bbf
"I signed up for LLM Zoomcamp, but I never got a confirmation email. Do I still count as registered?",977bf7786c
Do I need to wait for an acceptance or confirmation message before I can start the course?,977bf7786c
Can I begin watching lessons and submitting homework even if I didn’t fill out the registration form?,977bf7786c
Is there some official list of registered students that homework gets checked against?,977bf7786c
What is the point of the registration form if it doesn’t affect access to the course?,977bf7786c
Where can I watch the Office Hours or live workshop sessions if I’m a student?,489dd1c9d9
"Do students get the Zoom link for live sessions, or is it shared somewhere else?",489dd1c9d9
How do I ask questions during the workshop if I can’t use the Zoom room?,489dd1c9d9
"Is the live stream link posted before Office Hours starts, and where should I look for it?",489dd1c9d9
"Should I type my questions in the YouTube chat during the live session, or is there a better place to submit them?",489dd1c9d9
"Where do I begin if I want to follow this course from scratch, and which pages should I check first?",04919992b3
"Can I start the LLM Zoomcamp at any time, or is there a fixed start date and schedule I need to follow?",04919992b3
"What’s the usual weekly routine for this course — do I watch the lectures first, then do the notebooks, then homework?",04919992b3
Where do I find the homework instructions and where should I upload or submit my answers before the deadline?,04919992b3
"Is homework basically the same as the lesson exercises, or does it use different data and tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0
Why does the leaderboard show a random name for me when I first sign up?,c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
"If I want a different nickname on the leaderboard, how do I change it?",c2903069a0
"What name will appear on my certificate, and how do I make sure it’s not the default random one?",c2903069a0
Can I take the course at my own pace and still get the certificate?,69d122f12e
Is there any way to get a certificate if I’m not in the live cohort?,69d122f12e
Why doesn’t the self-paced version come with a certificate?,69d122f12e
Do I need to be in the running cohort to do the peer reviews for the capstone?,69d122f12e
Will I still be able to review 3 projects after the course ends and get certified?,69d122f12e
Do I still get the course certificate if I skipped the first homework?,9f689c185f
"Is homework actually required to earn the certificate, or is the capstone enough?",9f689c185f
"If I don’t do the homework, can I still complete the course and get certified?",9f689c185f
What do I need to pass in order to receive the certificate?,9f689c185f
"Are homework points mandatory for the certificate, or only for the leaderboard?",9f689c185f
Why does this homework keep changing every time I check it?,96286b4be4
How do I know when an assignment is actually ready and not still a draft?,96286b4be4
"If I see [DRAFT] in the homework title, should I assume the tasks are final or not?",96286b4be4
Can the homework instructions still change after I start working on them?,96286b4be4
"Is it safe to do the homework early, or should I wait until the form is open and the title no longer says draft?",96286b4be4
When is llm-zoomcamp planned to run again next?,bd31146b0e
Do you know the next time this course will be offered?,bd31146b0e
What’s the upcoming session date for the course?,bd31146b0e
When should I expect the course to be available again?,bd31146b0e
Is the next course run happening in summer 2027?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there a central place to start if I want to watch the lesson videos?,31456f4b5f
"Do the lesson pages include links to the videos, or do I need to search YouTube myself?",31456f4b5f
What’s the best place to check first for updated lecture links in this course?,31456f4b5f
How do I locate the videos for each lesson in the repository?,31456f4b5f
Where do I find the LLM Zoomcamp course page to see everything in one place?,20c5a1347e
"Is there a place for checking deadlines, homework, and the syllabus for this zoomcamp?",20c5a1347e
How can I follow my progress in the LLM Zoomcamp?,20c5a1347e
What platform should I use to keep track of the current cohort and assignments?,20c5a1347e
Does the LLM Zoomcamp have a management site like the other DataTalks.Club zoomcamps?,20c5a1347e
"Does the course have live sessions or office hours for every module, or is everything just pre-recorded?",d65e05bd7a
"If there aren't module-by-module live classes, how do we get help when we get stuck on the homework or lectures?",d65e05bd7a
"Are any live sessions announced separately during the course, and where should I look for them?",d65e05bd7a
Is there an optional paid support option with regular Zoom office hours for this course?,d65e05bd7a
What’s the difference between the free course materials and the extra community support mentioned for the course?,d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
Are Bluesky posts accepted for the learning in public requirement?,dbf5369006
"If I post about the course on Bluesky, does that qualify for public learning credits?",dbf5369006
Does the course allow Bluesky as a valid place to share learning in public?,dbf5369006
Can I get credit for posting my course progress on Bluesky?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I find the Telegram group for LLM Zoomcamp announcements?,054f3fd58f
"Is there an official Telegram channel for this course, and what is it?",054f3fd58f
Which channel should I join on Telegram for LLM Zoomcamp updates?,054f3fd58f
Where do I go for announcements versus technical questions in LLM Zoomcamp?,054f3fd58f
Why does my FAQ data have a different number of rows than the one shown in the course videos?,e2d595f23c
Is it normal if the FAQ dataset count changes when I run the code now?,e2d595f23c
Why don't I get the same record total from the FAQ file as in the lecture?,e2d595f23c
Did the FAQ dataset get updated after the videos were recorded?,e2d595f23c
How can the FAQ dataset size be different from what the course video shows?,e2d595f23c
"The homework deadline already passed, but the form is still open — can I still turn it in?",a9353fadfe
"If I see the submission form open after the due date, does that mean late homework is still accepted?",a9353fadfe
When is it actually too late to submit homework: after the deadline or only after the form closes?,a9353fadfe
"Can I submit my answers even if the listed deadline is gone, as long as the form is not closed yet?",a9353fadfe
"Does a past deadline automatically block homework submission, or is the form being closed the only cutoff?",a9353fadfe
Can I still turn in homework after the deadline if the submission form is open?,cdc3b285e5
Do you ever give individual deadline extensions for homework in this course?,cdc3b285e5
"What happens if I miss a homework assignment, will it affect my certificate?",cdc3b285e5
Are late homework submissions accepted once the form has been closed?,cdc3b285e5
"Does homework count for the certificate, or is it only used for leaderboard ranking?",cdc3b285e5
Will the name I enter for the certificate be visible on the public leaderboard or anywhere online?,651ba06b34
"Does the certificate name get shared with anyone outside the course, or is it private?",651ba06b34
What’s the difference between the display name on the leaderboard and the name that goes on the certificate?,651ba06b34
Can I keep my real name off the leaderboard but still have it printed on the certificate?,651ba06b34
Where do I change the nickname for the leaderboard and the official name for the certificate in my course profile?,651ba06b34
Why doesn’t the course start with LangChain right away?,b7cdde6b25
What’s the reason we build the RAG parts ourselves instead of using a framework?,b7cdde6b25
"Is LangChain actually not allowed in the course, or just not the main focus?",b7cdde6b25
"What do I gain by implementing prompting, retrieval, indexing, and evaluation manually first?",b7cdde6b25
Why is the course teaching the basics before introducing tools like LangChain?,b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the `OpenAI API Error: Insufficient credits` message mean in the responses.create command?,f5df151c59
Is there a reason the OpenAI responses.create call fails even though my code looks correct?,f5df151c59
How can I fix the error that shows up when using OpenAI `responses.create` and says I don’t have enough credits?,f5df151c59
Does the `OpenAI API Error: Insufficient credits` usually mean my OpenAI account balance is too low?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI when I try the RAG code, and how do I fix it?",152af39a53
"Does this OpenAI error mean my API key is broken, or is it just a billing/quota issue?",152af39a53
How can I check whether my OpenAI account has enough credits for the model I’m using?,152af39a53
"After I add money to my OpenAI account, do I need to create a new API key or can I keep using the old one?",152af39a53
What should I change in my `responses.create(...)` call if the model I picked isn’t available on my account?,152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
Do I need to load a lot of credit before I can start using the OpenAI API?,554d0eb78b
"What’s the minimum recharge amount for the OpenAI API, and is it enough for the course work?",554d0eb78b
"Will using the OpenAI API in this module cost me a lot, or is it basically cheap?",554d0eb78b
"If I start with just a small balance, is that usually enough for the course exercises?",554d0eb78b
"Do I need an OpenAI API subscription to finish the course homework, or are there free options?",85384a18e5
Can I complete this course without paying for the OpenAI API service?,85384a18e5
What should I use instead of OpenAI if I want to keep the cost low for the assignments?,85384a18e5
Are there any free or cheap alternatives to the OpenAI API mentioned for this course?,85384a18e5
Where can I find the list of OpenAI API alternatives for the course on GitHub?,85384a18e5
Why do we use uv in the course instead of pip and virtualenv?,f81dea8f7e
What makes uv better or easier than the usual Python setup tools?,f81dea8f7e
