question,document,score,reasoning
I found this course late — can I still sign up and follow along?,74eb249bbf,good,"The AI answer preserves the key point: late enrollment is allowed, and certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent to the ground truth."
Is it too late to join the course if I just heard about it now?,74eb249bbf,good,"The AI answer conveys the same meaning as the ground truth: it says it's still possible to join, and the condition for receiving a certificate is submitting the project before submissions close. This matches the original answer semantically."
Can I still take part in the course even after it already started?,74eb249bbf,good,"The AI answer preserves the key point: participation is still allowed after the course starts, and certificate eligibility depends on submitting the project while submissions are still open. This is semantically equivalent to the ground truth."
"If I join late, will I still be able to get a certificate somehow?",74eb249bbf,good,"The AI answer preserves the key point from the ground truth: late joiners can still get a certificate if they submit their project while submissions are open. However, it adds extra requirements about completing capstone and peer-review that are not present in the original answer. Since the extra detail does not contradict the ground truth and the core answer is correct, this is semantically equivalent enough."
What do I need to do to be eligible for the certificate if I started the course late?,74eb249bbf,bad,"The AI answer captures the main requirement from the ground truth: you can still be eligible if you submit your project while submissions are open. However, it adds an extra peer-review requirement that is not present in the original answer, and it also introduces uncertainty not in the ground truth. Since the core answer is preserved and the extra detail does not directly contradict it, this is close but not exact. Still, for semantic equivalence, the added peer-review condition changes the meaning enough to be considered incorrect relative to the source because the original only mentions project submission as the eligibility condition."
"I signed up for LLM Zoomcamp, but I never got a confirmation email. Do I still count as registered?",977bf7786c,good,"The AI answer matches the ground truth: it says the user still counts as registered/accepted, no confirmation email is needed, registration is not checked against a list, and they can begin learning and submitting homework while the form is open. This conveys the key point accurately. "
Do I need to wait for an acceptance or confirmation message before I can start the course?,977bf7786c,good,"The AI answer conveys the core message: no need to wait for acceptance/confirmation, you're accepted, and you can start learning and submitting homework while the form is open. It omits the extra detail that registration is only to gauge interest and that it is not checked against a registered list, but that omission does not change the main answer."
Can I begin watching lessons and submitting homework even if I didn’t fill out the registration form?,977bf7786c,good,"The AI answer preserves the core meaning of the ground truth: registration is not required, learners are accepted, and they can start watching lessons and submitting homework without filling out the form. It also correctly notes that the form is only for gauging interest and is not checked against a registered list. This is semantically equivalent to the original answer."
Is there some official list of registered students that homework gets checked against?,977bf7786c,good,"The AI answer matches the ground truth: it states there is no official registered-students list, homework is not checked against registration, and students can start learning and submit homework while the form is open without registering. It preserves the key point and is semantically equivalent."
What is the point of the registration form if it doesn’t affect access to the course?,977bf7786c,good,"The AI answer preserves the key points of the ground truth: registration is only for gauging interest, it is not required for course access, and it is not checked against a registered list. It omits the extra detail that learners are accepted and can start learning/submitting homework while the form is open, but that omission does not change the core answer to the question."
Where can I watch the Office Hours or live workshop sessions if I’m a student?,489dd1c9d9,good,"The AI answer matches the ground truth: students watch via YouTube Live/DataTalksClub, the URL is posted in Telegram and Slack announcements before the session, and questions go through Slido pinned in chat. It preserves the key guidance and omits only the note about not using chat, which is extra detail rather than a core requirement."
"Do students get the Zoom link for live sessions, or is it shared somewhere else?",489dd1c9d9,good,"The AI answer matches the ground truth: it correctly states that students do not get the Zoom link, that it is only for instructors/presenters/TAs, and that students watch via YouTube Live, ask questions via Slido, and can find the video URL in the announcements channel on Telegram/Slack or on the DataTalksClub YouTube channel. It preserves the key information accurately."
How do I ask questions during the workshop if I can’t use the Zoom room?,489dd1c9d9,good,"The AI answer preserves the core guidance: students should participate via YouTube Live and ask questions through Slido, with the link pinned in chat, and not use chat for questions. It omits some extra context about the Zoom link being restricted and alternative video URL announcements, but those are not essential to the direct question."
"Is the live stream link posted before Office Hours starts, and where should I look for it?",489dd1c9d9,good,"The AI answer correctly states that the live stream URL is posted before it begins and identifies where to look for it: the announcements channel on Telegram and Slack, plus the DataTalksClub YouTube channel. It omits details about Zoom being restricted to instructors and Slido/chat guidance, but those are not required for the core question."
"Should I type my questions in the YouTube chat during the live session, or is there a better place to submit them?",489dd1c9d9,good,"The AI answer conveys the key point: students should not use YouTube chat for questions because they may be missed, and instead should use Slido with the link pinned in chat during the live session. It matches the ground truth’s main guidance, though it omits some extra context about Zoom/Telegram/Slack/YouTube channel, which is not required for equivalence."
"Where do I begin if I want to follow this course from scratch, and which pages should I check first?",04919992b3,good,"The AI answer preserves the key guidance: start with the LLM Zoomcamp docs, general Zoomcamp logistics docs, and the GitHub repository. It also correctly states you can start whenever you want and outlines the same workflow for lessons and homework. One minor omission is that it does not mention the course management platform link where deadlines are listed, but the core answer is still semantically equivalent."
"Can I start the LLM Zoomcamp at any time, or is there a fixed start date and schedule I need to follow?",04919992b3,good,"The AI answer captures the key point that there is no fixed start date and that the course can be started whenever the student wants. It also correctly notes that videos, GitHub materials, and deadlines on the course platform are available. This is semantically equivalent to the ground truth, though it omits the suggested workflow and extra resource links, which are not essential to the core answer."
"What’s the usual weekly routine for this course — do I watch the lectures first, then do the notebooks, then homework?",04919992b3,good,"The AI answer matches the ground truth on the typical weekly workflow: watch videos, do notebooks/code, read homework instructions, and submit before the deadline. It also correctly notes that homework is similar but uses a different dataset or slightly different task. It omits the suggestion to start with the docs/repository and that you can start whenever you want, but those are extra details not required to answer the user's question about routine, so the core answer is preserved."
Where do I find the homework instructions and where should I upload or submit my answers before the deadline?,04919992b3,good,"The AI answer correctly says the homework instructions are in the course GitHub repo and that answers should be submitted through the course management platform before the deadline. It also adds some extra detail about the submission form being open/closed, which does not contradict the core answer. Although it is more specific than the original, it preserves the key information and is semantically equivalent."
"Is homework basically the same as the lesson exercises, or does it use different data and tasks?",04919992b3,good,"The AI answer correctly states that homework follows the lesson workflow but typically uses a different dataset or slightly different task, which matches the ground truth's core point. It answers the user's direct question and preserves the key distinction between lesson exercises and homework. It omits extra logistics details, but that is acceptable because the question only asks about sameness vs difference."
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0,good,"The AI answer correctly states the key instruction for finding your leaderboard entry: click the 'Jump to your record on the leaderboard' link. This matches the ground truth’s main answer to the question. It omits the extra note about the automatically assigned random name and how to view/edit the display name, but those are supplementary and not required for the core question."
Why does the leaderboard show a random name for me when I first sign up?,c2903069a0,good,"The AI answer captures the core reason: a random display name is automatically assigned on signup, and it can be changed in Edit Course Profile. It omits the extra instruction about using the leaderboard link to locate your record and the distinction between display name and official certificate name, but those are supplementary rather than essential to the question asked."
Where can I check what my display name is in the course profile?,c2903069a0,good,"The AI answer correctly identifies that the display name can be checked by clicking 'Edit Course Profile' and notes that the first field is the display/public nickname. This matches the key point of the ground truth, though it omits the extra details about the leaderboard link and certificate name. Those omissions do not affect correctness."
"If I want a different nickname on the leaderboard, how do I change it?",c2903069a0,good,"The AI answer correctly states that the leaderboard nickname can be changed in Edit Course Profile and identifies the first field as the public nickname/display name shown on the leaderboard. This matches the core of the ground truth. It omits some extra context about random assigned names and the second field/certificate, but that is not required for the question."
"What name will appear on my certificate, and how do I make sure it’s not the default random one?",c2903069a0,good,The AI answer correctly explains that the certificate uses the second field in Edit Course Profile and that the user must replace the default random name with their official name to avoid that random name appearing on the certificate. It also correctly identifies the first field as the public/display nickname. This is semantically equivalent to the ground truth.
Can I take the course at my own pace and still get the certificate?,69d122f12e,good,"The AI answer matches the ground truth on the key point: certificates are only available for the live cohort, not self-paced mode. It omits the explanation about peer-review and why self-paced doesn't qualify, but that is extra detail rather than a necessary part of the answer. The semantic meaning is preserved."
Is there any way to get a certificate if I’m not in the live cohort?,69d122f12e,good,"The AI answer matches the ground truth: it says certificates are only available for finishing with a live cohort, and that self-paced participants do not receive certificates because peer-review of 3 capstones is only possible while the cohort is running. This preserves the key points with no contradiction."
Why doesn’t the self-paced version come with a certificate?,69d122f12e,good,"The AI answer preserves the key points from the ground truth: self-paced mode does not include certificates, certificates are only available through a live cohort, and the reason is that learners must peer-review 3 capstone projects, which is only possible while the course is actively running. This is semantically equivalent."
Do I need to be in the running cohort to do the peer reviews for the capstone?,69d122f12e,good,"The AI answer correctly states that capstone peer reviews can only be done in the live/running cohort while the course is running. However, it misses an important part of the original answer: self-paced mode does not award certificates, and completing the live cohort is required to get a certificate. The user’s question is specifically about peer reviews, so the core point is covered, but the answer is not fully equivalent because it omits the certificate/self-paced clarification. Still, the main question is answered correctly."
Will I still be able to review 3 projects after the course ends and get certified?,69d122f12e,good,"The AI answer matches the ground truth: it says you cannot review projects after the course ends, and that certificates are only available if you finish with a live cohort. It also correctly notes that peer reviews are only possible while the course is running. No key information is missing or contradicted."
Do I still get the course certificate if I skipped the first homework?,9f689c185f,good,"The AI answer matches the ground truth: it says the certificate is still obtainable despite skipping the first homework, provided the Capstone project is passed. It also correctly notes that homework is not mandatory but recommended. The leaderboard detail is omitted, but that is not essential to the core answer."
"Is homework actually required to earn the certificate, or is the capstone enough?",9f689c185f,good,"The AI answer matches the ground truth: it correctly states that homework is not mandatory, the Capstone project must be passed to earn the certificate, and homework only helps reinforce concepts and affects leaderboard rank. This is semantically equivalent."
"If I don’t do the homework, can I still complete the course and get certified?",9f689c185f,good,"The AI answer matches the ground truth: homework is optional, and certification depends on passing the Capstone project. It also preserves the nuance that homework is recommended but not required, though it omits the leaderboard detail, which is not essential to the question."
What do I need to pass in order to receive the certificate?,9f689c185f,good,"The AI answer matches the ground truth on the key point: passing the Capstone project is required to receive the certificate, and homework is not mandatory. It omits the extra detail that homework points count toward leaderboard rank, but that is not necessary for answering the question."
"Are homework points mandatory for the certificate, or only for the leaderboard?",9f689c185f,good,"The AI answer matches the ground truth: it states that homework is not mandatory for the certificate, that passing the Capstone project is required, and that homework points count only toward the leaderboard/rank. This is semantically equivalent to the original answer."
Why does this homework keep changing every time I check it?,96286b4be4,good,"The AI answer preserves the key points: `[DRAFT]` means the homework is not ready, it is only final when the form is open and the title lacks `[DRAFT]`, and content may still change until then. It omits the extra warning that working in advance is at the student's own risk, but that is not essential to the core answer."
How do I know when an assignment is actually ready and not still a draft?,96286b4be4,good,"The AI answer matches the ground truth: it states that the assignment is ready only when the form is open and the title does not contain [DRAFT], and it correctly notes that if [DRAFT] remains, it is not ready and content may still change. This preserves the key point and meaning."
"If I see [DRAFT] in the homework title, should I assume the tasks are final or not?",96286b4be4,good,"The AI answer correctly states that a homework title containing [DRAFT] means the tasks are not final and may still change, which matches the ground truth. It omits the additional condition about the homework form being open on the platform, but that does not alter the core answer to the question asked."
Can the homework instructions still change after I start working on them?,96286b4be4,good,"The AI answer matches the ground truth: it explains that homework can still change while marked [DRAFT] or before the form opens, states that working early is at your own risk, and gives the same readiness conditions. It preserves the key point and adds no incorrect information."
"Is it safe to do the homework early, or should I wait until the form is open and the title no longer says draft?",96286b4be4,good,"The AI answer matches the ground truth: it states that the homework should only be considered ready when the form is open and the title no longer says [DRAFT], and it warns that doing it early is at the student's own risk because the content may change."
When is llm-zoomcamp planned to run again next?,bd31146b0e,bad,"The ground truth says llm-zoomcamp is planned to run again in Summer 2027. The AI answer says it doesn't know, which misses the key information and is incorrect relative to the provided answer."
Do you know the next time this course will be offered?,bd31146b0e,good,The AI answer matches the ground truth exactly in meaning and specifies the next offering as Summer 2027. No important information is missing or incorrect.
What’s the upcoming session date for the course?,bd31146b0e,bad,"The ground truth gives a specific upcoming session date: Summer 2027. The AI answer says it doesn't know, which fails to provide the correct information and is not semantically equivalent."
When should I expect the course to be available again?,bd31146b0e,bad,"The ground truth gives a specific availability time: Summer 2027. The AI answer says 'I don't know,' which does not convey the key information and is incorrect relative to the FAQ answer."
Is the next course run happening in summer 2027?,bd31146b0e,good,The AI answer matches the ground truth exactly in meaning: it confirms that the next course run is in Summer 2027. No key information is missing or incorrect.
