question,answer_llm,answer_orig,document
I found this course late — can I still sign up and follow along?,"Yes, you can still join and follow along.

If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to join the course if I just heard about it now?,"Yes, you can still join the course. If you want to receive a certificate, you just need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still take part in the course even after it already started?,"Yes, you can still join the course after it has already started. If you want to receive a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, will I still be able to get a certificate somehow?","Yes, but only if you can still submit your project while submissions are open. You also need to complete the live cohort’s capstone and peer-review requirements to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I started the course late?,"If you started the course late, you can still join, but to be eligible for the certificate you must **submit your capstone project while the course is still accepting submissions** and complete the **peer-review requirement** during the live course.

In other words:
- **Be in the live cohort**
- **Submit your project before submissions close**
- **Peer-review 3 other capstone projects**

If the course has already moved past the submission/peer-review period, I don't know.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for LLM Zoomcamp, but I never got a confirmation email. Do I still count as registered?","Yes — you still count as registered/accepted. You don’t need a confirmation email, and registration isn’t checked against a list. You can just start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I need to wait for an acceptance or confirmation message before I can start the course?,"No. You don’t need to wait for an acceptance or confirmation message — you’re accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin watching lessons and submitting homework even if I didn’t fill out the registration form?,Yes — you can start watching lessons and submitting homework without filling out the registration form. Registration is only to gauge interest and is not checked against a registered list.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there some official list of registered students that homework gets checked against?,No. Registration is **not** checked against any official registered-students list. You can start learning and submit homework while the form is open without registering.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the point of the registration form if it doesn’t affect access to the course?,"The registration form is just to gauge interest before the start date. You don’t need it to access the course, and it is not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where can I watch the Office Hours or live workshop sessions if I’m a student?,"Students can watch Office Hours or live workshop sessions via **YouTube Live** on the **DataTalksClub YouTube channel**. The **video URL is usually posted in the announcements channel on Telegram and Slack before the session starts**, and the **Slido link** for questions is pinned in the live chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Do students get the Zoom link for live sessions, or is it shared somewhere else?","Students do **not** get the Zoom link.

The **Zoom link is only published to instructors/presenters/TAs**.  
For live sessions, students should use:

- **YouTube Live** to watch
- **Slido** to ask questions
- The **announcements channel on Telegram and Slack** for the video URL before the session starts

You can also watch on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
